date;04c9e950-11a1-4c22-9c6e-dca01c622d84;117763f2-dc28-44a6-a089-4229f01fc059;45599982-f82d-4ba2-ac5c-7f23d2d3ce6e;4e8ad7f5-dc7a-4b02-845d-fe2f62856def;4faa6db6-2320-4d01-b890-92a9a990fffd;6fb7e253-6fcd-4dbf-8add-22e7cd5b9981;8dc9eca2-7cb2-4141-8d7b-e3e85ca4eaae;abee0abf-5f69-44b6-b095-679dc9d47330;f09c6642-8892-4d34-b7b1-219cdff664f9
16/12/2019;-999;0;0;0;0;0;-999;0;0
17/12/2019;-999;0;0;0;0;0;-999;0;0
18/12/2019;-999;0;0;0;0;0;-999;0;0
19/12/2019;-999;0;0;0;0;0;-999;0;0
20/12/2019;-999;0;0;0;0;0;-999;0;0
21/12/2019;-999;0;0;0;0;0;-999;0;0
22/12/2019;-999;0;0;0;0;0;-999;0;0
23/12/2019;-999;0;0;0;0;0;-999;0;0
24/12/2019;-999;0;0;0;0;0;-999;0;0
25/12/2019;-999;0;0;0;0;0;-999;0;0
26/12/2019;-999;0;-999;-999;-999;-999;-999;-999;-999
30/12/2019;-999;0;27.0;15.0;0;0;-999;0;0
31/12/2019;-999;0;0;0;0;0;-999;0;0
01/01/2020;-999;0;0;0;0;0;-999;0;0
02/01/2020;-999;0;0;0;0;0;-999;0;0
03/01/2020;-999;0;0;0;0;0;-999;0;0
04/01/2020;-999;0;0;0;0;0;-999;0;0
05/01/2020;-999;0;0;0;0;0;-999;0;0
06/01/2020;-999;0;0;0;0;0;-999;0;0
07/01/2020;-999;0;0;0;0;0;-999;0;0
08/01/2020;-999;0;0;0;0;0;-999;0;0
09/01/2020;-999;0;0;0;0;0;-999;0;0
10/01/2020;-999;0;-999;0;0;0;-999;0;0
13/01/2020;-999;0;-999;-999;0;0;-999;0;0
17/01/2020;-999;0;0;0;0;0;-999;0;0
18/01/2020;-999;0;0;0;0;0;-999;0;0
19/01/2020;-999;0;0;0;0;0;-999;0;0
20/01/2020;-999;0;0;0;0;0;-999;0;0
21/01/2020;-999;0;0;0;0;0;-999;0;0
22/01/2020;-999;0;0;0;0;0;-999;0;0
27/01/2020;-999;0;0;0;0;0;-999;0;0
28/01/2020;-999;0;0;0;0;0;-999;0;0
29/01/2020;-999;0;0;0;0;0;-999;0;0
30/01/2020;-999;0;0;0;0;0;-999;0;0
31/01/2020;-999;0;0;0;0;0;-999;0;0
01/02/2020;-999;0;0;0;0;0;-999;0;0
02/02/2020;-999;0;0;0;0;0;-999;0;0
03/02/2020;-999;0;0;0;0;0;-999;0;0
04/02/2020;-999;0;0;0;0;0;-999;0;0
05/02/2020;-999;0;0;0;0;0;-999;0;0
06/02/2020;-999;0;0;0;0;0;-999;0;0
07/02/2020;-999;0;2.0;0;0;0;-999;0;0
08/02/2020;-999;0;0;0;0;0;-999;0;0
09/02/2020;-999;0;0;0;0;0;-999;0;0
14/02/2020;0;0;0;0;0;0;-999;0;0
15/02/2020;0;0;0;5.0;0;0;-999;0;0
16/02/2020;0;0;108.0;88.0;0;0;-999;0;0
17/02/2020;0;0;0;0;0;0;-999;0;0
18/02/2020;0;0;0;0;0;0;-999;0;0
19/02/2020;0;0;0;0;0;0;-999;0;0
20/02/2020;0;0;0;0;0;0;-999;0;0
21/02/2020;0;0;0;0;0;0;-999;0;0
22/02/2020;0;0;0;0;0;0;-999;0;0
23/02/2020;0;0;0;0;0;0;-999;0;0
24/02/2020;0;0;0;0;0;0;-999;0;0
25/02/2020;-999;-999;-999;0;-999;0;-999;0;-999
26/02/2020;0;0;0;0;0;0;-999;0;0
27/02/2020;0;0;0;0;0;0;-999;0;0
28/02/2020;0;0;0;0;0;0;-999;0;0
29/02/2020;0;0;0;0;0;0;-999;0;0
01/03/2020;0;0;0;0;0;0;-999;0;0
02/03/2020;0;0;0;0;0;0;-999;0;0
03/03/2020;0;0;0;0;0;0;-999;0;0
04/03/2020;0;0;0;0;0;0;-999;0;0
05/03/2020;0;0;1.0;10.0;0;0;-999;0;0
06/03/2020;0;0;0;0;0;0;-999;0;0
07/03/2020;0;0;0;0;0;0;-999;0;0
08/03/2020;0;0;0;0;0;0;-999;0;0
09/03/2020;0;0;0;0;0;0;-999;0;0
10/03/2020;0;0;147.0;65.0;0;0;-999;0;0
11/03/2020;0;0;0;0;-999;0;-999;0;0
12/03/2020;0;0;0;0;-999;0;-999;0;0
13/03/2020;0;0;42.0;0;-999;0;-999;0;0
14/03/2020;0;0;16.0;0;-999;0;-999;0;0
15/03/2020;0;0;0;0;-999;0;-999;0;0
16/03/2020;0;0;0;0;-999;0;-999;0;0
17/03/2020;0;0;0;0;-999;0;-999;0;0
18/03/2020;0;0;0;0;-999;0;-999;0;0
19/03/2020;0;0;2.0;7.0;-999;0;-999;0;0
20/03/2020;0;0;0;0;-999;0;-999;0;0
21/03/2020;0;0;0;0;-999;0;-999;0;0
22/03/2020;0;0;0;0;-999;0;-999;0;0
23/03/2020;0;0;0;0;-999;0;-999;0;0
24/03/2020;0;0;0;0;-999;0;-999;0;0
25/03/2020;0;0;0;0;-999;0;-999;0;0
26/03/2020;0;0;0;0;-999;0;-999;0;0
27/03/2020;0;0;0;0;-999;0;-999;0;0
28/03/2020;0;0;16.0;50.0;-999;0;-999;0;0
29/03/2020;0;0;0;0;-999;0;-999;0;0
30/03/2020;0;0;0;0;-999;0;-999;0;0
31/03/2020;0;0;13.0;11.0;-999;0;-999;0;0
01/04/2020;0;0;45.0;0;-999;0;-999;0;0
02/04/2020;0;0;39.0;42.0;-999;0;-999;0;0
03/04/2020;0;0;0;0;-999;0;-999;0;0
04/04/2020;0;0;0;0;-999;0;-999;0;0
05/04/2020;0;0;0;2.0;-999;0;-999;0;0
06/04/2020;0;0;2.0;14.0;-999;0;-999;0;0
