date;a0a2ff1c-f8f7-4812-973e-fb913456e107
01/01/2017;0
02/01/2017;0
03/01/2017;0
04/01/2017;0
05/01/2017;0
06/01/2017;0
07/01/2017;0.5
08/01/2017;0
09/01/2017;0
10/01/2017;0
11/01/2017;0
12/01/2017;0
13/01/2017;3.5
14/01/2017;24.0
15/01/2017;3.0
16/01/2017;0
17/01/2017;0
18/01/2017;0
19/01/2017;0
20/01/2017;0.5
21/01/2017;0
22/01/2017;0
23/01/2017;0
24/01/2017;0
25/01/2017;0
26/01/2017;0
27/01/2017;0
28/01/2017;0
29/01/2017;0
30/01/2017;0
31/01/2017;0
01/02/2017;0
02/02/2017;0
03/02/2017;0
04/02/2017;0
05/02/2017;0
06/02/2017;0
07/02/2017;0
08/02/2017;1.0
09/02/2017;6.5
10/02/2017;0
11/02/2017;0
12/02/2017;0
13/02/2017;0
14/02/2017;0
15/02/2017;0
16/02/2017;0
17/02/2017;0
18/02/2017;0
19/02/2017;0
20/02/2017;0
21/02/2017;0
22/02/2017;18.0
23/02/2017;3.5
24/02/2017;26.5
25/02/2017;29.5
26/02/2017;27.5
27/02/2017;0.5
28/02/2017;0
01/03/2017;0
02/03/2017;0
03/03/2017;0
04/03/2017;0
05/03/2017;0
06/03/2017;17.5
07/03/2017;15.5
08/03/2017;5.5
09/03/2017;0
10/03/2017;19.0
11/03/2017;1.0
12/03/2017;0.5
13/03/2017;3.0
14/03/2017;7.0
15/03/2017;0
16/03/2017;22.5
17/03/2017;1.5
18/03/2017;0
19/03/2017;4.5
20/03/2017;1.0
21/03/2017;0
22/03/2017;8.5
23/03/2017;2.5
24/03/2017;0
25/03/2017;24.0
26/03/2017;24.0
27/03/2017;0
28/03/2017;0
29/03/2017;0
30/03/2017;0
31/03/2017;29.5
01/04/2017;17.0
02/04/2017;0
03/04/2017;0
04/04/2017;0
05/04/2017;0
06/04/2017;0
07/04/2017;0
08/04/2017;0
09/04/2017;0
10/04/2017;0
11/04/2017;14.0
12/04/2017;47.5
13/04/2017;14.5
14/04/2017;0
15/04/2017;0
16/04/2017;0
17/04/2017;0
18/04/2017;0
19/04/2017;4.0
20/04/2017;13.0
21/04/2017;92.5
22/04/2017;22.0
23/04/2017;0.5
24/04/2017;1.0
25/04/2017;0
26/04/2017;2.0
27/04/2017;41.5
28/04/2017;0
29/04/2017;0
30/04/2017;0
01/05/2017;0
02/05/2017;0
03/05/2017;2.0
04/05/2017;0
