date;RG001;RG002;RG003;RG004;RG005A;RG008;RG010;RG012;RG014;RG016;RG017;RG018;RG025;RG026;RG027;RG029;RG031;RG034;RG035;RG036;RG037;RG039;RG040;RG041;RG043;RG047;RG049;RG050;RG051A;RG052;RG055;RG057;RG058;RG061;RG062;RG065;RG066;RG067;RG069;RG070;RG071;RG072;RG073;RG075;RG076;RG077;RG078;RG079
18/04/2012 12.00;0;0;0;0;0;0;0;0;0;0;0;0;1.524;0;0.6096;6.858;1.2192;0;0;0;1.0272;0;0;0;0;0;0.6096;0;0;0;0;0;0;0;0;0;1.26;0;1.905;0;0;1.8288;0;0;0;1.284;0;0
18/04/2012 12.05;0;0;0;0;0;0;0;0;0;0;0;0;5.1816;0;1.524;0;1.524;0;0;0;1.284;0;0;0;0;0;1.524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.524;0.9144;0.3048;1.524;1.284;0;0
18/04/2012 12.10;0;0;0;0;0;0;0;0;0;0;0;0;2.1336;0;3.9624;0;0.3048;0;0;0;2.8248;0;0;0;0;0;7.0104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.524;1.524;1.524;1.284;0;0
18/04/2012 12.15;0;0;0;0;0;0;0;0;0;0;0;0;1.524;1.524;2.54;0;0.9144;0;0.9144;0;0;0;0;0;0;0;18.3257;0.9144;0;0;0;0;0;0;0;1.26;0.315;1.26;0;0;0;0;4.1656;1.9812;4.572;0;0.3048;0
18/04/2012 12.20;0;0;0;0;0;0;0;0;0.6096;0;0;0;0.9144;1.524;2.54;0;1.524;0;1.524;0;0;0;0.6096;0;0;0;7.112;1.524;0;0;0;0;0;0;0;1.26;1.575;1.26;0;0;0;0;2.54;5.334;4.572;0;1.524;0
18/04/2012 12.25;0;0;0;0;0;0.2568;0;0;1.524;0;0;0;0;4.572;16.2688;0;1.524;0.3048;2.8956;0;0;0;1.524;0;0;0;2.032;2.8956;0;0;0;0.315;0.756;0.252;1.26;0;4.41;0;0;0;0;0;5.334;0;0;0;1.6002;0
18/04/2012 12.30;0;0;0;0;0;1.284;0;0;1.524;0;0;1.2192;0;4.572;7.62;0;1.524;1.524;0.762;0;0;0;2.4384;0;0;0;0;0.762;0;0;0;1.575;1.26;1.26;1.26;0;13.86;0;0.6096;0;0;0.6096;0.762;0;1.2192;1.0272;1.905;0
18/04/2012 12.35;0;0;0;0;0;1.6692;0;0;1.524;0;0;1.524;0;6.858;1.524;0;4.4196;1.524;0.9144;0;0;0;3.81;0;0;0;0;0;0;0;0;5.67;2.394;1.323;3.78;1.26;11.34;0;1.524;0;0;1.524;0;0;1.524;1.284;5.334;0
18/04/2012 12.40;0;0;0.5136;0;0;3.21;0.6096;0;2.4384;0;1.2192;3.3528;0;2.286;0;0;2.286;1.524;1.524;0;0;0;2.794;0;0.6096;1.008;0;0;0;0;0.504;5.544;5.67;1.575;1.26;1.26;7.56;0;0.9144;0;0;3.9624;0;0;0.9144;2.8248;1.524;0
18/04/2012 12.45;0;0;1.284;0;0;7.704;1.524;0;2.667;0.3048;1.524;4.572;0;0;0;0.9144;2.54;1.6002;6.7056;0;0;0;1.9304;0;1.524;1.26;0;0.3048;0;0;0;1.26;2.1;2.52;0;21.5063;3.15;0;0;0;0;7.62;0;0.9144;1.524;6.42;1.524;0
18/04/2012 12.50;0;0;1.6264;0;0;2.996;13.1064;0;1.905;1.524;3.3528;7.62;0;0;0;1.524;9.652;1.905;18.3257;0;0;0;1.524;0;0.9144;5.292;0;1.524;0;0;1.008;1.386;2.94;3.15;1.008;16.3941;0.63;0.504;0;1.2192;0;1.524;0.6096;1.524;1.9304;1.926;1.524;0
18/04/2012 12.55;0;0;2.033;0.7704;0.3048;2.782;10.668;0;4.572;1.9812;9.906;3.429;0;1.524;0;0.6096;6.604;1.905;3.048;0;0;0;0.6096;0;0;4.41;0;2.7432;0;0;0.504;1.575;1.575;2.94;1.26;4.41;0;1.26;0;1.524;0;0;1.524;0.6096;2.032;1.605;4.572;0
18/04/2012 13.00;0;0;1.605;1.284;1.524;4.494;4.572;0;1.524;3.81;2.286;1.905;0.6096;1.524;0;0;2.54;1.905;0;0;0;0;0;0;0;2.31;0;1.524;1.284;0;0;1.575;0.945;2.1;0.252;23.4317;0.504;3.276;0;0.3048;0;0;1.9304;0;1.2192;8.025;2.54;0
18/04/2012 13.05;0;0;1.605;4.3656;1.9812;1.284;2.54;0;0;6.096;0;1.143;1.524;2.54;0;0;4.572;0.9144;1.524;1.524;0;0;0;0;0;1.785;0;0.9144;2.568;0;0.252;1.26;0;0.756;0;13.86;1.26;5.67;0;0;0;0;3.556;1.524;1.524;12.84;2.794;0
